adm1_name,adm1_pcode,adm2_name,adm2_pcode,adm3_name,adm3_pcode,area_sqkm,buildings_all,buildings_p85,buildings_p90,building_area_m2_all,building_area_m2_p85,building_area_m2_p90,buildings_p85_per_sqkm,registry_all,registry_principal,registry_clinical,osm_health,osm_hospital,osm_clinic,osm_doctors,registry_minus_osm_clinical,osm_to_registry_clinical_ratio,registry_gap_share,underobserved_buildings_adm3_p85_proxy
Region IV-A (Calabarzon),PH04,Batangas,PH04010,Talisay,PH0401030,59.2037,19016,7722,4174,1391644.7,912455.8,612357.6,130.43,15,5,11,1,0,0,1,10,0.0909,0.9091,7020
Region IV-A (Calabarzon),PH04,Rizal,PH04058,Morong,PH0405809,34.566,26542,8078,2746,1917444.3,1139555.7,664791.7,233.7,24,4,15,2,2,0,0,13,0.1333,0.8667,7001
Region IV-A (Calabarzon),PH04,Laguna,PH04034,Calauan,PH0403406,74.9667,22044,6994,3226,1654914.8,880784.9,546109.4,93.29,21,5,21,0,0,0,0,21,0.0,1.0,6994
Region I (Ilocos Region),PH01,La Union,PH01033,Bacnotan,PH0103303,76.4034,26721,8144,3252,1764217.0,1044693.0,603206.7,106.59,17,3,14,2,1,0,1,12,0.1429,0.8571,6980
Region V (Bicol Region),PH05,Camarines Sur,PH05017,Pasacao,PH0501727,134.2876,20920,6966,2960,932286.7,508901.5,299001.8,51.87,24,4,23,0,0,0,0,23,0.0,1.0,6966
Region VI (Western Visayas),PH06,Iloilo,PH06030,Barotac Nuevo,PH0603007,96.0415,23617,7459,3513,1463224.0,848978.3,561498.0,77.66,20,3,15,1,1,0,0,14,0.0667,0.9333,6961
Region VII (Central Visayas),PH07,Cebu,PH07022,San Francisco,PH0702242,96.9182,21008,7331,3148,1133381.2,639750.9,379255.7,75.64,21,8,18,1,1,0,0,17,0.0556,0.9444,6923
Region IX (Zamboanga Peninsula),PH09,Zamboanga Sibugay,PH09083,Malangas,PH0908308,121.0915,12906,7759,3470,752478.8,575507.3,330036.9,64.08,9,2,9,1,1,0,0,8,0.1111,0.8889,6897
Region I (Ilocos Region),PH01,Pangasinan,PH01055,San Nicolas,PH0105536,225.2275,22299,6884,2554,1317052.8,716368.0,359587.9,30.56,37,2,37,0,0,0,0,37,0.0,1.0,6884
Mimaropa Region,PH17,Marinduque,PH17040,Santa Cruz,PH1704005,242.4787,19423,7264,3103,1263522.9,706025.3,377359.6,29.96,20,3,19,1,0,1,0,18,0.0526,0.9474,6882
Region VI (Western Visayas),PH06,Iloilo,PH06030,Pototan,PH0603037,98.4999,30534,9842,4925,1964135.8,1139197.3,774867.8,99.92,28,5,23,7,3,4,0,16,0.3043,0.6957,6847
Region III (Central Luzon),PH03,Nueva Ecija,PH03049,Bongabon,PH0304902,215.5608,25731,7060,2017,1811231.9,865447.5,367024.6,32.75,40,6,33,1,1,0,0,32,0.0303,0.9697,6846
Region I (Ilocos Region),PH01,La Union,PH01033,Agoo,PH0103301,48.146,28814,8779,3384,1993714.7,1187815.9,680639.2,182.34,31,5,27,6,2,1,3,21,0.2222,0.7778,6828
Region X (Northern Mindanao),PH10,Misamis Oriental,PH10043,Villanueva,PH1004326,36.6433,14424,6822,2860,1097782.9,824098.0,580381.9,186.17,16,4,14,0,0,0,0,14,0.0,1.0,6822
Region II (Cagayan Valley),PH02,Isabela,PH02031,Quezon,PH0203122,216.5018,17766,6820,2469,1099803.6,699715.2,358120.6,31.5,19,2,17,0,0,0,0,17,0.0,1.0,6820
Region I (Ilocos Region),PH01,La Union,PH01033,San Juan,PH0103316,50.5945,21853,6797,2749,1389687.4,801672.0,445400.3,134.34,13,2,12,0,0,0,0,12,0.0,1.0,6797
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Lanao del Sur,PH19036,Marantao,PH1903616,34.5874,11917,6795,3293,882778.8,665945.5,422273.3,196.46,8,2,7,0,0,0,0,7,0.0,1.0,6795
Region X (Northern Mindanao),PH10,Bukidnon,PH10013,San Fernando,PH1001318,605.3497,20577,8023,2340,1122986.2,627835.2,291822.5,13.25,28,3,26,4,2,1,1,22,0.1538,0.8462,6789
Region I (Ilocos Region),PH01,La Union,PH01033,Naguilian,PH0103311,102.4452,24346,8168,3038,1584704.0,902056.9,447236.3,79.73,44,4,41,7,3,4,0,34,0.1707,0.8293,6774
Region IV-A (Calabarzon),PH04,Rizal,PH04058,Tanay,PH0405812,283.7972,33261,8928,2913,2398115.1,1276208.6,688227.6,31.46,40,8,29,7,2,4,1,22,0.2414,0.7586,6773
Region II (Cagayan Valley),PH02,Isabela,PH02031,Cabagan,PH0203106,307.732,24537,7893,2412,1659388.7,898149.5,394079.7,25.65,37,2,28,4,1,0,3,24,0.1429,0.8571,6765
Region VI (Western Visayas),PH06,Iloilo,PH06030,City of Passi,PH0603035,240.7675,26363,9204,3855,1797370.6,997803.2,581930.9,38.23,60,3,49,13,1,8,4,36,0.2653,0.7347,6762
Region I (Ilocos Region),PH01,Pangasinan,PH01055,Urbiztondo,PH0105545,40.3419,27114,7274,2422,1520198.5,777424.7,402181.9,180.31,14,3,14,1,1,0,0,13,0.0714,0.9286,6755
Region VIII (Eastern Visayas),PH08,Leyte,PH08037,Palompon,PH0803740,152.1914,24106,7877,3424,1481798.6,826050.7,499112.0,51.76,17,3,14,2,1,1,0,12,0.1429,0.8571,6751
Region IV-A (Calabarzon),PH04,Quezon,PH04056,San Francisco (Aurora),PH0405642,316.1907,16787,7627,3390,876266.2,525238.0,286585.6,24.12,18,2,17,2,1,0,1,15,0.1176,0.8824,6730
Region XI (Davao Region),PH11,Davao de Oro (Compostela Valley),PH11082,Montevista,PH1108208,262.8293,17840,7691,2336,1237351.8,715757.9,286877.2,29.26,27,3,24,3,1,1,1,21,0.125,0.875,6730
Region VI (Western Visayas),PH06,Negros Occidental,PH06045,City of Himamaylan,PH0604510,363.4972,29415,7008,2513,1802443.3,777314.8,413309.0,19.28,27,3,25,1,1,0,0,24,0.04,0.96,6728
Region VII (Central Visayas),PH07,Negros Oriental,PH07046,Bacong,PH0704603,40.4229,17057,6728,3453,1206708.3,763948.2,504298.4,166.44,23,1,23,0,0,0,0,23,0.0,1.0,6728
Region I (Ilocos Region),PH01,Ilocos Sur,PH01029,Narvacan,PH0102914,103.3661,24164,7100,2395,1686763.0,891842.7,424537.4,68.69,45,4,38,2,0,1,1,36,0.0526,0.9474,6727
Region VI (Western Visayas),PH06,Capiz,PH06019,Panay,PH0601909,132.7079,21674,6724,2846,1221699.4,640394.0,355036.9,50.67,29,2,28,0,0,0,0,28,0.0,1.0,6724
Region III (Central Luzon),PH03,Nueva Ecija,PH03049,Aliaga,PH0304901,95.2571,32695,6722,1825,2156999.1,879890.7,362466.6,70.57,14,2,12,0,0,0,0,12,0.0,1.0,6722
Region II (Cagayan Valley),PH02,Isabela,PH02031,Mallig,PH0203119,116.219,20295,6714,2294,1187887.2,683025.3,326958.8,57.77,23,3,21,0,0,0,0,21,0.0,1.0,6714
Region VI (Western Visayas),PH06,Negros Occidental,PH06045,Cauayan,PH0604507,469.7072,22579,7214,2605,1350578.8,653823.2,324916.1,15.36,30,3,27,2,1,0,1,25,0.0741,0.9259,6679
Region X (Northern Mindanao),PH10,Lanao del Norte,PH10035,Baloi,PH1003502,64.7648,14443,8331,3993,1035087.6,781777.4,483141.5,128.63,10,4,10,2,1,1,0,8,0.2,0.8,6665
Region IX (Zamboanga Peninsula),PH09,Zamboanga Sibugay,PH09083,Alicia,PH0908301,146.2285,12967,7270,2871,693015.4,495354.3,263326.5,49.72,12,2,12,1,1,0,0,11,0.0833,0.9167,6664
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Sur,PH09073,Ramon Magsaysay (Liargo),PH0907323,96.9372,11526,6657,2792,688199.4,518039.7,305621.4,68.67,10,2,9,0,0,0,0,9,0.0,1.0,6657
Region IV-A (Calabarzon),PH04,Quezon,PH04056,San Antonio,PH0405641,62.3793,18387,6652,3051,1327343.8,811149.0,527046.0,106.64,24,4,23,0,0,0,0,23,0.0,1.0,6652
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Basilan,PH19007,Maluso,PH1900704,87.2907,11091,6989,3360,552883.7,424172.2,248418.6,80.07,20,2,20,1,0,1,0,19,0.05,0.95,6640
Region II (Cagayan Valley),PH02,Quirino,PH02057,Maddela,PH0205704,770.6225,24695,7417,2178,1659370.9,851618.3,375625.8,9.62,39,5,38,4,1,2,1,34,0.1053,0.8947,6636
Region IX (Zamboanga Peninsula),PH09,Zamboanga Sibugay,PH09083,Naga,PH0908309,151.8378,12148,6627,2569,696391.9,494702.1,267032.6,43.65,26,3,26,0,0,0,0,26,0.0,1.0,6627
Region VIII (Eastern Visayas),PH08,Northern Samar,PH08048,Catarman (Capital),PH0804805,303.0507,30336,12776,6288,1802451.0,1150944.6,763136.8,42.16,36,8,27,13,2,6,5,14,0.4815,0.5185,6624
Region VI (Western Visayas),PH06,Negros Occidental,PH06045,Murcia,PH0604520,279.4264,21259,6825,3078,1412357.1,818730.6,559327.1,24.43,33,3,32,1,0,0,1,31,0.0312,0.9688,6612
Region XI (Davao Region),PH11,Davao del Sur,PH11024,Sulop,PH1102414,128.8119,16486,7329,2469,929414.7,589227.0,295618.6,56.9,32,5,30,3,1,1,1,27,0.1,0.9,6596
Region III (Central Luzon),PH03,Bulacan,PH03014,Paombong,PH0301416,45.285,22310,7754,2659,1340388.7,764645.5,359607.0,171.23,21,7,20,3,1,2,0,17,0.15,0.85,6591
National Capital Region (NCR),PH13,Metropolitan Manila Fourth District,PH13076,Pasay City,PH1307605,17.886,50151,14612,5207,5383329.7,3461410.5,2263297.1,816.95,112,43,51,28,5,15,8,23,0.549,0.451,6590
Region IV-A (Calabarzon),PH04,Laguna,PH04034,Nagcarlan,PH0403417,75.4475,20783,7137,3058,1554509.9,823434.5,465208.5,94.6,19,3,13,1,1,0,0,12,0.0769,0.9231,6588
Region XIII (Caraga),PH16,Agusan del Sur,PH16003,Rosario,PH1600307,390.6695,18985,7021,2371,1243917.5,712530.1,376316.5,17.97,16,2,16,1,0,1,0,15,0.0625,0.9375,6582
Region XII (Soccsksargen),PH12,Sarangani,PH12080,Maitum,PH1208005,286.3861,15591,7171,2718,950280.8,632043.0,354093.9,25.04,26,5,24,2,2,0,0,22,0.0833,0.9167,6574
Mimaropa Region,PH17,Oriental Mindoro,PH17052,Gloria,PH1705206,256.0981,20921,6526,2639,1400098.2,701794.9,372503.1,25.48,32,4,31,0,0,0,0,31,0.0,1.0,6526
Region XII (Soccsksargen),PH12,Sultan Kudarat,PH12065,Sen. Ninoy Aquino,PH1206512,270.4916,12357,6819,2435,827104.2,581168.6,284691.9,25.21,23,3,23,1,1,0,0,22,0.0435,0.9565,6522
Region V (Bicol Region),PH05,Masbate,PH05041,Placer,PH0504117,198.898,19689,6510,2471,973814.2,498433.5,255133.2,32.73,13,2,13,0,0,0,0,13,0.0,1.0,6510
Region III (Central Luzon),PH03,Bataan,PH03008,Orion,PH0300810,89.6398,20493,7090,2400,1796077.2,1123968.9,638278.4,79.09,27,2,24,2,1,0,1,22,0.0833,0.9167,6499
Region III (Central Luzon),PH03,Pampanga,PH03054,Masantol,PH0305412,67.6027,23321,6498,2108,1366216.5,673071.0,313854.9,96.12,13,2,12,0,0,0,0,12,0.0,1.0,6498
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Special Geographic Area,PH19099,Special Geographic Area - Pikit I,PH1909906,59.3378,11383,6491,3036,697637.5,515540.2,297410.4,109.39,10,3,10,0,0,0,0,10,0.0,1.0,6491
Cordillera Administrative Region (CAR),PH14,Mountain Province,PH14044,Bauko,PH1404402,129.2566,22911,6954,1785,1249672.5,622541.4,243071.5,53.8,33,5,30,2,1,1,0,28,0.0667,0.9333,6490
Region I (Ilocos Region),PH01,Pangasinan,PH01055,Tayug,PH0105543,43.9816,24990,8045,3034,1599847.9,922824.3,487225.1,182.92,27,4,25,5,3,2,0,20,0.2,0.8,6436
Region VIII (Eastern Visayas),PH08,Leyte,PH08037,Alangalang,PH0803702,155.1967,15558,7012,3300,912412.7,565555.6,342979.4,45.18,14,5,12,1,0,0,1,11,0.0833,0.9167,6428
Region IX (Zamboanga Peninsula),PH09,Zamboanga Sibugay,PH09083,Payao,PH0908311,192.2796,11921,6424,2385,627931.0,436272.6,225286.6,33.41,27,1,27,0,0,0,0,27,0.0,1.0,6424
Region XI (Davao Region),PH11,Davao Oriental,PH11025,Governor Generoso,PH1102506,297.3056,14655,6710,2561,964687.5,610870.7,333404.3,22.57,26,2,23,1,1,0,0,22,0.0435,0.9565,6418
Region I (Ilocos Region),PH01,Pangasinan,PH01055,Santa Maria,PH0105539,46.6624,21016,6674,2551,1277496.4,732274.6,380124.7,143.03,26,2,25,1,0,1,0,24,0.04,0.96,6407
Region IV-A (Calabarzon),PH04,Cavite,PH04021,Gen. Mariano Alvarez,PH0402123,8.7213,39297,7682,1872,1937339.0,723473.2,288976.4,880.83,50,13,42,7,3,3,1,35,0.1667,0.8333,6401
Region IX (Zamboanga Peninsula),PH09,Zamboanga Sibugay,PH09083,Diplahan,PH0908303,124.2063,12270,7110,3098,780320.6,588282.5,354423.0,57.24,10,4,10,1,1,0,0,9,0.1,0.9,6399
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Maguindanao del Sur,PH19088,Gen. S.K. Pendatun,PH1908819,140.3086,11333,6381,2956,618102.9,449876.4,258412.0,45.48,36,14,36,0,0,0,0,36,0.0,1.0,6381
Region II (Cagayan Valley),PH02,Isabela,PH02031,Gamu,PH0203113,96.6387,20565,6372,2408,1388579.5,802455.6,446062.4,65.94,22,3,19,0,0,0,0,19,0.0,1.0,6372
Region V (Bicol Region),PH05,Camarines Sur,PH05017,Goa,PH0501715,186.1112,24470,6849,2623,1349207.5,657502.0,374297.9,36.8,46,8,43,3,0,1,2,40,0.0698,0.9302,6371
Region XI (Davao Region),PH11,Davao Oriental,PH11025,Manay,PH1102508,416.1977,13993,6696,2443,831379.1,538003.7,271985.3,16.09,22,3,20,1,1,0,0,19,0.05,0.95,6361
Region IV-A (Calabarzon),PH04,Batangas,PH04010,Tuy,PH0401034,93.5406,16734,6825,3237,1407343.3,900559.7,576149.7,72.96,16,7,14,1,1,0,0,13,0.0714,0.9286,6338
Region III (Central Luzon),PH03,Tarlac,PH03069,La Paz,PH0306907,115.7027,32918,8630,3056,1938671.2,1035493.3,573372.8,74.59,19,7,15,4,2,1,1,11,0.2667,0.7333,6328
Mimaropa Region,PH17,Oriental Mindoro,PH17052,Victoria,PH1705215,206.6993,20516,7095,3204,1446012.6,786867.6,451822.3,34.33,39,5,37,4,2,1,1,33,0.1081,0.8919,6328
Region VII (Central Visayas),PH07,Negros Oriental,PH07046,City of Guihulngan,PH0704611,375.0231,20617,6497,2020,1098300.5,503057.5,236490.5,17.32,39,5,38,1,1,0,0,37,0.0263,0.9737,6326
Region IX (Zamboanga Peninsula),PH09,Zamboanga Sibugay,PH09083,Siay,PH0908313,228.048,15423,7901,2795,832235.2,555570.6,282173.1,34.65,10,1,10,2,0,1,1,8,0.2,0.8,6321
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Sulu,PH19066,Jolo (Capital),PH1906602,3.0017,16141,9470,3525,1245432.7,956217.7,511709.5,3154.89,15,6,12,4,3,1,0,8,0.3333,0.6667,6314
Region V (Bicol Region),PH05,Camarines Sur,PH05017,Buhi,PH0501705,204.4932,26847,6770,2327,1423617.2,586535.9,274520.5,33.11,45,7,44,3,1,1,1,41,0.0682,0.9318,6308
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Maguindanao del Sur,PH19088,Mamasapano,PH1908820,36.1878,11170,6303,2764,582900.1,433943.8,250517.8,174.17,10,4,10,0,0,0,0,10,0.0,1.0,6303
Region I (Ilocos Region),PH01,La Union,PH01033,Rosario,PH0103313,78.356,26337,7562,2538,1727706.6,910346.1,471124.8,96.51,25,3,18,3,1,1,1,15,0.1667,0.8333,6301
National Capital Region (NCR),PH13,Metropolitan Manila Fourth District,PH13076,City of Las Piñas,PH1307601,32.7422,135783,50400,19948,12062957.9,7976486.8,4384567.7,1539.3,115,58,72,63,17,34,12,9,0.875,0.125,6300
Cordillera Administrative Region (CAR),PH14,Benguet,PH14011,Mankayan,PH1401111,146.1013,25224,7648,2303,1498703.8,796871.9,337285.5,52.35,18,4,17,3,2,1,0,14,0.1765,0.8235,6298
Region II (Cagayan Valley),PH02,Nueva Vizcaya,PH02050,Solano,PH0205013,88.5067,32270,9433,2841,2346318.1,1174594.1,506994.2,106.58,49,5,39,13,4,8,1,26,0.3333,0.6667,6289
Region I (Ilocos Region),PH01,Pangasinan,PH01055,Bani,PH0105508,181.8194,25552,6935,2061,1576287.3,742138.8,318245.3,38.14,35,4,32,3,1,0,2,29,0.0938,0.9062,6284
Region IV-A (Calabarzon),PH04,Quezon,PH04056,Catanauan,PH0405610,253.3469,20513,6964,2777,1115081.3,588456.4,318780.4,27.49,43,5,41,4,1,0,3,37,0.0976,0.9024,6284
Region I (Ilocos Region),PH01,Pangasinan,PH01055,Laoac,PH0105548,41.5886,19032,6274,2490,1279444.4,762396.2,419535.6,150.86,25,2,24,0,0,0,0,24,0.0,1.0,6274
Region IV-A (Calabarzon),PH04,Quezon,PH04056,Lucban,PH0405623,138.2473,19488,7944,3566,1659993.1,1139252.2,765361.2,57.46,22,4,19,4,1,2,1,15,0.2105,0.7895,6272
Region VIII (Eastern Visayas),PH08,Leyte,PH08037,Albuera,PH0803703,77.1811,18307,6687,3589,1085514.5,666333.7,479152.9,86.64,16,7,16,1,0,0,1,15,0.0625,0.9375,6269
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Maguindanao del Sur,PH19088,Datu Paglas,PH1908805,143.6475,12698,7040,3194,831167.0,593170.2,350111.5,49.01,9,3,9,1,1,0,0,8,0.1111,0.8889,6258
Region IV-A (Calabarzon),PH04,Quezon,PH04056,Tagkawayan,PH0405646,551.7424,20328,6249,2493,1097974.6,532548.5,285178.6,11.33,49,2,47,0,0,0,0,47,0.0,1.0,6249
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Norte,PH09072,Pres. Manuel A. Roxas,PH0907211,233.0789,10895,6235,2663,628078.5,468531.9,285418.0,26.75,32,2,32,0,0,0,0,32,0.0,1.0,6235
Region VI (Western Visayas),PH06,Iloilo,PH06030,Dingle,PH0603016,98.4886,18749,6226,2944,1171756.4,665663.4,423006.0,63.22,15,2,12,0,0,0,0,12,0.0,1.0,6226
Region X (Northern Mindanao),PH10,Bukidnon,PH10013,Kitaotao,PH1001309,386.6953,14013,6765,2399,886924.5,579801.3,294899.0,17.49,37,2,37,3,1,1,1,34,0.0811,0.9189,6216
Region VI (Western Visayas),PH06,Iloilo,PH06030,Lambunao,PH0603025,405.6657,20574,6943,2859,1445081.0,759168.3,424360.0,17.12,21,3,19,2,1,0,1,17,0.1053,0.8947,6212
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Norte,PH09072,Labason,PH0907205,159.549,11970,6802,2921,819853.6,606370.0,363068.9,42.63,24,3,23,2,1,0,1,21,0.087,0.913,6210
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Lanao del Sur,PH19036,Malabang,PH1903615,86.464,11998,7066,3233,804900.3,606565.8,357890.3,81.72,8,7,8,1,1,0,0,7,0.125,0.875,6183
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Norte,PH09072,Manukan,PH0907207,146.8522,11149,6493,3035,670402.7,516308.5,335295.2,44.21,20,4,20,1,1,0,0,19,0.05,0.95,6168
Region XIII (Caraga),PH16,Surigao del Sur,PH16068,Hinatuan,PH1606809,323.1849,15242,6680,2209,944112.8,564557.5,263486.8,20.67,26,4,26,2,1,0,1,24,0.0769,0.9231,6166
Region X (Northern Mindanao),PH10,Misamis Oriental,PH10043,Initao,PH1004310,91.0741,12790,6928,2738,839589.4,634184.6,390708.0,76.07,21,3,18,2,1,0,1,16,0.1111,0.8889,6158
National Capital Region (NCR),PH13,Metropolitan Manila Third District,PH13075,City of Navotas,PH1307503,10.5382,38239,7594,2279,2353322.5,1226592.1,745879.0,720.62,45,22,37,7,2,2,3,30,0.1892,0.8108,6157
Region VII (Central Visayas),PH07,Bohol,PH07012,Tubigon,PH0701245,66.3728,18624,6802,3148,1261875.9,734736.8,450658.0,102.48,25,5,21,2,1,1,0,19,0.0952,0.9048,6154
Region V (Bicol Region),PH05,Camarines Sur,PH05017,Tinambac,PH0501737,329.0957,22973,6268,2126,1121016.0,501039.0,252122.4,19.05,51,6,50,1,1,0,0,49,0.02,0.98,6143
Region XI (Davao Region),PH11,Davao Oriental,PH11025,Banaybanay,PH1102502,225.5241,13894,6140,2257,972309.8,618327.8,328399.4,27.23,18,2,17,0,0,0,0,17,0.0,1.0,6140
Region II (Cagayan Valley),PH02,Isabela,PH02031,Cabatuan,PH0203107,63.9263,21653,6811,2341,1664206.6,968862.3,524032.4,106.54,11,3,10,1,0,0,1,9,0.1,0.9,6130
Region III (Central Luzon),PH03,Nueva Ecija,PH03049,Lupao,PH0304916,116.7519,22063,6130,1951,1556173.9,830004.5,414298.0,52.5,8,1,7,0,0,0,0,7,0.0,1.0,6130
Region II (Cagayan Valley),PH02,Isabela,PH02031,Naguilian,PH0203120,163.2611,19910,6110,2161,1270560.9,690163.2,348398.8,37.42,31,5,30,0,0,0,0,30,0.0,1.0,6110
Region II (Cagayan Valley),PH02,Isabela,PH02031,Quirino,PH0203123,125.5349,18880,6104,2092,1200448.1,664664.6,308503.1,48.62,25,2,23,0,0,0,0,23,0.0,1.0,6104
Region VI (Western Visayas),PH06,Iloilo,PH06030,Janiuay,PH0603023,182.8547,22378,7523,3327,1442274.4,770238.8,456432.3,41.14,27,4,21,4,1,0,3,17,0.1905,0.8095,6090
Region V (Bicol Region),PH05,Camarines Norte,PH05016,Labo,PH0501606,628.707,30566,6363,1621,1783721.1,656385.4,260973.3,10.12,72,16,69,3,2,0,1,66,0.0435,0.9565,6086
Region V (Bicol Region),PH05,Albay,PH05005,Oas,PH0500512,244.5961,23699,6676,2351,1345106.1,589259.5,277412.3,27.29,11,1,11,1,0,1,0,10,0.0909,0.9091,6069
Region IV-A (Calabarzon),PH04,Quezon,PH04056,Guinayangan,PH0405618,225.7243,16758,6064,2607,920595.3,506843.7,283849.1,26.86,13,3,13,0,0,0,0,13,0.0,1.0,6064
Region III (Central Luzon),PH03,Nueva Ecija,PH03049,Santo Domingo,PH0304929,86.1839,28509,6604,1950,1966153.0,873291.8,387791.1,76.63,28,6,24,2,1,1,0,22,0.0833,0.9167,6054
Region IV-A (Calabarzon),PH04,Rizal,PH04058,Teresa,PH0405814,19.5415,21921,6981,1889,1555833.8,899438.0,472452.2,357.24,18,4,15,2,1,0,1,13,0.1333,0.8667,6050
Region VIII (Eastern Visayas),PH08,Southern Leyte,PH08064,City of Maasin (Capital),PH0806407,204.4474,23377,8914,4415,1684723.9,985737.1,636354.2,43.6,34,7,28,9,4,1,4,19,0.3214,0.6786,6049
Region V (Bicol Region),PH05,Masbate,PH05041,Aroroy,PH0504101,456.4365,22288,6046,2052,1176503.6,534179.8,269694.8,13.25,45,4,44,0,0,0,0,44,0.0,1.0,6046
Cordillera Administrative Region (CAR),PH14,Benguet,PH14011,Tuba,PH1401113,341.9426,24842,6712,2122,1539082.9,757255.2,364036.5,19.63,20,2,20,2,0,2,0,18,0.1,0.9,6041
Mimaropa Region,PH17,Occidental Mindoro,PH17051,Rizal,PH1705108,303.7923,18653,6023,2447,962950.6,499831.2,272201.5,19.83,14,3,14,0,0,0,0,14,0.0,1.0,6023
Region XIII (Caraga),PH16,Surigao del Norte,PH16067,Claver,PH1606706,286.301,14073,6768,3730,1092106.0,778651.9,564921.4,23.64,21,4,18,2,0,1,1,16,0.1111,0.8889,6016
Region VII (Central Visayas),PH07,Negros Oriental,PH07046,Santa Catalina,PH0704618,414.3811,21499,6212,2220,1234243.0,580542.1,305724.8,14.99,33,4,31,1,1,0,0,30,0.0323,0.9677,6011
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Maguindanao del Sur,PH19088,Pagagawan,PH1908822,159.5976,11573,6010,2513,632085.4,439499.8,238117.2,37.66,20,5,20,0,0,0,0,20,0.0,1.0,6010
Region I (Ilocos Region),PH01,Ilocos Norte,PH01028,Dingras,PH0102809,108.3652,24176,6603,2417,1400673.3,723072.9,367033.0,60.93,12,2,11,1,1,0,0,10,0.0909,0.9091,6003
Region VII (Central Visayas),PH07,Cebu,PH07022,Bantayan,PH0702209,82.6476,17048,6912,3221,1279620.2,802370.7,487926.5,83.63,36,4,30,4,1,1,2,26,0.1333,0.8667,5991
Region X (Northern Mindanao),PH10,Camiguin,PH10018,Mambajao (Capital),PH1001804,72.7763,14335,6739,3885,1137922.9,773466.3,551524.0,92.6,20,4,18,2,1,0,1,16,0.1111,0.8889,5990
Region IV-A (Calabarzon),PH04,Quezon,PH04056,San Narciso,PH0405644,242.6842,17817,6215,2164,812103.1,406141.7,184899.3,25.61,27,2,27,1,1,0,0,26,0.037,0.963,5985
Region XIII (Caraga),PH16,Surigao del Sur,PH16068,Cantilan,PH1606805,202.7619,13582,5979,3127,985434.5,629800.8,415864.2,29.49,21,2,20,0,0,0,0,20,0.0,1.0,5979
Region I (Ilocos Region),PH01,Pangasinan,PH01055,Mapandan,PH0105528,20.4158,20042,6350,2332,1367360.9,785893.0,422472.3,311.03,21,2,17,1,1,0,0,16,0.0588,0.9412,5977
Region VI (Western Visayas),PH06,Iloilo,PH06030,Cabatuan,PH0603012,104.0055,24170,7799,3702,1584519.4,863026.5,538687.9,74.99,20,4,17,4,2,0,2,13,0.2353,0.7647,5964
Mimaropa Region,PH17,Oriental Mindoro,PH17052,Bulalacao (San Pedro),PH1705204,352.8061,19359,6337,2290,885375.9,460533.5,236132.2,17.96,17,2,17,1,0,0,1,16,0.0588,0.9412,5964
Region IV-A (Calabarzon),PH04,Laguna,PH04034,Santa Cruz (Capital),PH0403426,37.2132,38304,11390,3429,3161715.5,1619992.5,750169.7,306.07,52,12,44,21,8,11,2,23,0.4773,0.5227,5954
Region XIII (Caraga),PH16,Agusan del Sur,PH16003,Bunawan,PH1600302,464.0741,17545,6998,2539,1078127.8,621369.4,320054.9,15.08,14,4,13,2,2,0,0,11,0.1538,0.8462,5922
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Norte,PH09072,Sergio Osmeña Sr.,PH0907214,370.8778,10881,5920,2210,539393.2,389089.0,219100.3,15.96,27,3,27,0,0,0,0,27,0.0,1.0,5920
Region VI (Western Visayas),PH06,Iloilo,PH06030,Miagao,PH0603030,169.9999,21237,7301,3378,1533316.9,877502.2,544784.1,42.95,26,1,21,4,1,1,2,17,0.1905,0.8095,5910
Mimaropa Region,PH17,Palawan,PH17053,Brooke's Point,PH1705306,684.822,31876,6378,356,2008055.9,799744.9,148502.0,9.31,26,6,26,2,1,0,1,24,0.0769,0.9231,5888
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Basilan,PH19007,Sumisip,PH1900705,265.1237,10640,7009,3574,627268.4,506857.3,325488.6,26.44,25,3,25,4,1,0,3,21,0.16,0.84,5888
Region VIII (Eastern Visayas),PH08,Leyte,PH08037,Hilongos,PH0803719,193.5392,20471,8818,4574,1384720.8,885346.2,597999.2,45.56,26,9,24,8,2,2,4,16,0.3333,0.6667,5879
Region III (Central Luzon),PH03,Zambales,PH03071,San Narciso,PH0307112,72.869,17504,5867,2483,1273164.2,771729.8,469083.9,80.51,22,1,20,0,0,0,0,20,0.0,1.0,5867
